Designator,Mid X,Mid Y,Rotation,Layer
12VLED1,48.352,-78.514,270.0,top
3V3LED1,53.043159,-55.145521,90.0,top
BOOTJUMPER1,60.214778,-61.126857,270.0,top
C1,56.736278,-64.707957,90.0,top
C10,50.399576,-56.651006,0.0,top
C11,46.678,-65.769,180.0,top
C12,54.316095,-64.769881,180.0,top
C13,48.52,-68.802,90.0,top
C14,52.239,-68.809,270.0,top
C15,42.032572,-65.571521,180.0,top
C16,42.031572,-66.540521,180.0,top
C17,35.177,-61.851,180.0,top
C2,57.802,-67.679,270.0,top
C20,43.601814,-45.436492,0.0,top
C21,40.823958,-46.080869,180.0,top
C22,43.601814,-46.356492,0.0,top
C23,41.011814,-51.151492,180.0,top
C24,34.45,-58.264215,180.0,top
C25,34.450018,-59.186291,180.0,top
C26,36.685508,-49.784814,180.0,top
C27,36.685508,-48.864814,180.0,top
C28,53.145,-84.314,270.0,top
C29,52.084,-87.176,270.0,top
C3,57.799672,-65.799759,270.0,top
C30,43.006365,-85.781602,270.0,top
C31,40.06,-94.675,90.0,bottom
C32,40.641,-85.779,270.0,top
C33,54.62,-89.19,180.0,top
C34,38.278,-85.779374,270.0,top
C35,40.06,-94.675,90.0,top
C36,35.915,-85.775,270.0,top
C37,54.63,-91.58,180.0,top
C38,44.631,-85.795,270.0,top
C39,47.015,-81.823,90.0,top
C4,55.742278,-66.582957,270.0,top
C40,54.63,-89.16,180.0,bottom
C41,35.9,-85.77,270.0,bottom
C42,38.259,-85.754,270.0,bottom
C43,40.626,-85.77,270.0,bottom
C44,42.980781,-85.766629,270.0,bottom
C45,52.662,-72.944,90.0,top
C46,59.258,-94.282,0.0,top
C47,59.31,-91.57,0.0,top
C48,53.39,-93.058,130.0,bottom
C49,59.31,-89.2,0.0,top
C5,56.700278,-66.581957,270.0,top
C6,54.944243,-63.252642,0.0,top
C7,53.773,-66.506,270.0,top
C8,55.400456,-61.36304,270.0,top
C9,52.802,-66.512,270.0,top
CANRXLED1,44.6,-66.2395,270.0,top
CANTXLED1,39.2,-64.301532,270.0,top
D1,34.774999,-65.2625,90.0,top
D2,49.15,-53.8,180.0,top
ENJUMPER1,60.216232,-67.27266,180.0,top
J1,37.375,-78.85,90.0,top
J2,60.215722,-49.923068,0.0,top
J3,55.79,-71.309458,0.0,top
J4,55.79159,-80.754955,0.0,top
J5,50.563,-46.952,180.0,top
JP1,43.473,-56.906,180.0,top
L1,55.759278,-64.690957,90.0,top
L2,51.32,-66.393616,270.0,top
L3,38.443853,-48.624058,270.0,top
L4,46.9,-94.7,90.0,top
Q1,50.773,-76.569,270.0,top
R1,57.718002,-63.900894,90.0,top
R10,37.57,-62.584,0.0,top
R11,51.399123,-51.052799,180.0,top
R12,47.075,-52.275,90.0,top
R13,43.728248,-52.245391,270.0,top
R14,40.019814,-44.496492,0.0,top
R15,44.461814,-48.436492,90.0,top
R16,34.838223,-49.774814,180.0,top
R17,33.44,-49.31,90.0,top
R18,52.503,-85.745,180.0,top
R19,51.732,-82.224,180.0,top
R2,50.307,-71.474,180.0,top
R20,52.172,-83.667,90.0,top
R21,46.019,-81.821,90.0,top
R22,49.176,-81.965,90.0,top
R23,48.174,-81.965,90.0,top
R24,51.726,-81.237,180.0,top
R25,53.725,-76.775,270.0,top
R26,39.663,-65.787532,180.0,top
R27,43.589761,-66.242438,270.0,top
R28,55.325,-52.65,0.0,bottom
R29,55.325,-53.575,0.0,bottom
R3,54.47,-61.34,270.0,top
R30,55.324682,-54.517718,0.0,bottom
R31,55.324516,-51.705161,0.0,bottom
R32,55.325184,-55.460437,0.0,bottom
R33,55.323359,-56.398345,0.0,bottom
R34,46.49,-75.22,90.0,top
R35,47.485,-75.209,270.0,top
R36,53.636,-72.926,270.0,top
R37,53.636,-71.014,270.0,top
R38,49.31,-76.55,270.0,top
R39,50.77,-75.14,0.0,top
R4,52.1,-55.15,270.0,top
R5,54.76,-66.216,90.0,top
R6,46.45,-67.075,0.0,top
R7,49.34,-78.51,270.0,top
R8,38.98,-58.648,90.0,top
R9,37.57,-61.127,180.0,top
SERVOLED1,53.718,-78.6795,90.0,top
TXLED1,48.396,-71.466,0.0,top
U1,49.3,-61.21,180.0,top
U2,42.476,-61.34,90.0,top
U3,42.169814,-43.716492,180.0,top
U4,42.191814,-48.619418,180.0,top
U5,34.975,-54.1,90.0,top
U6,48.2,-85.75,0.0,top
USBLED1,43.73383,-54.102421,90.0,top
Y1,50.378,-68.828,180.0,top
